"Scenario","Test","n","Replications","Power"
"Interact_Slight","osius_rojek",5000,10000,0.4273
"Interact_Slight","s_st_pgeq0_5",5000,0,NA
"Interact_Slight","sst_both",5000,0,NA
"Interact_Slight","Final_Farrington_G10",5000,10000,0.1622
"Interact_Pronounced","giviti_calib",1000,10000,0.9598
"Interact_Pronounced","giviti_calib_internal",1000,10000,0.9994
"Interact_Pronounced","traditional_HL",1000,10000,0.9909
"Interact_Pronounced","pearson",1000,10000,0.9921
"Interact_Pronounced","deviance",1000,10000,0.0074
"Interact_Pronounced","hl_ftest",1000,10000,0.9966
"Interact_Pronounced","osius_rojek",1000,10000,0.9981
"Interact_Pronounced","s_st_pgeq0_5",1000,10000,0.9486
"Interact_Pronounced","s_st_pl0_5",1000,10000,0.9998
"Interact_Pronounced","sst_both",1000,10000,0.9995
"Interact_Pronounced","large_s_hl",1000,10000,0.9909
"Interact_Pronounced","spiegelhalter",1000,10000,0
"Interact_Pronounced","Copas_unweighted_S",1000,10000,0.9996
"Interact_Pronounced","pigeonheyse",1000,10000,0.9872
"Interact_Pronounced","xie",1000,10000,0.9871
"Interact_Pronounced","eHL",1000,10000,0.7915
"Interact_Pronounced","U_p",1000,10000,0
"Interact_Pronounced","HL_GAM",1000,10000,0.9886
"Interact_Pronounced","PR_GAM",1000,10000,0.9979
"Interact_Pronounced","XIE_GAM",1000,10000,0.9957
"Interact_Pronounced","Farrington_standalone",1000,10000,0
"Interact_Pronounced","IM_efficient",1000,10000,0.9994
"Interact_Pronounced","McCullagh_Test",1000,10000,0.9992
"Interact_Pronounced","leCessie_Test",1000,10000,0.9993
"Interact_Pronounced","hosmer_equal_width",1000,10000,0.9874
"Interact_Pronounced","bagoft_parallel",1000,1000,0.802
"Interact_Pronounced","bagoft_test_NO_SIM_Split_1",1000,10000,0.2864
"Interact_Pronounced","PR_test",1000,10000,0.9985
"Interact_Pronounced","bagoft_test_Split_20",1000,10000,0.1094
"Interact_Pronounced","stute_zhu_test",1000,10000,0.9991
"Interact_Pronounced","Tsiatis_clustering",1000,10000,0.9929
"Interact_Pronounced","hosmer_bootstrap",1000,10000,0.5035
"Interact_Pronounced","eHL_10",1000,10000,0.8437
"Interact_Pronounced","Final_Farrington_G10",1000,10000,0.9915
"Interact_Pronounced","giviti_calib",200,10000,0.1278
"Interact_Pronounced","giviti_calib_internal",200,10000,0.6363
"Interact_Pronounced","traditional_HL",200,10200,0.4204
"Interact_Pronounced","pearson",200,10000,0.4753
"Interact_Pronounced","deviance",200,10000,0.0071
"Interact_Pronounced","hl_ftest",200,10000,0.5416
"Interact_Pronounced","osius_rojek",200,10000,0.6856
"Interact_Pronounced","s_st_pgeq0_5",200,10000,0.3489
"Interact_Pronounced","s_st_pl0_5",200,10000,0.6967
"Interact_Pronounced","sst_both",200,10000,0.6763
"Interact_Pronounced","large_s_hl",200,10000,0.4203
"Interact_Pronounced","spiegelhalter",200,10000,0
"Interact_Pronounced","Copas_unweighted_S",200,10000,0.6835
"Interact_Pronounced","pigeonheyse",200,10200,0.3525
"Interact_Pronounced","xie",200,10200,0.3142
"Interact_Pronounced","eHL",200,10000,0.0579
"Interact_Pronounced","U_p",200,10000,0
"Interact_Pronounced","HL_GAM",200,10000,0.3669
"Interact_Pronounced","PR_GAM",200,10000,0.627
"Interact_Pronounced","XIE_GAM",200,10000,0.4885
"Interact_Pronounced","Farrington_standalone",200,10000,0
"Interact_Pronounced","IM_efficient",200,10000,0.6066
"Interact_Pronounced","McCullagh_Test",200,10000,0.7095
"Interact_Pronounced","leCessie_Test",200,10000,0.622
"Interact_Pronounced","hosmer_equal_width",200,10200,0.3409
"Interact_Pronounced","bagoft_parallel",200,1000,0.153
"Interact_Pronounced","bagoft_test_NO_SIM_Split_1",200,10000,0.135
"Interact_Pronounced","PR_test",200,10000,0.6319
"Interact_Pronounced","bagoft_test_Split_20",200,10000,0.0102
"Interact_Pronounced","stute_zhu_test",200,10000,0.6233
"Interact_Pronounced","Tsiatis_clustering",200,10200,0.3943
"Interact_Pronounced","hosmer_bootstrap",200,10000,0.4378
"Interact_Pronounced","eHL_10",200,10000,0.0971
"Interact_Pronounced","Final_Farrington_G10",200,10200,0.3818
"Interact_Pronounced","giviti_calib",2000,10000,1
"Interact_Pronounced","giviti_calib_internal",2000,10000,1
"Interact_Pronounced","traditional_HL",2000,10000,1
"Interact_Pronounced","pearson",2000,10000,1
"Interact_Pronounced","deviance",2000,10000,0.0051
"Interact_Pronounced","hl_ftest",2000,10000,1
"Interact_Pronounced","osius_rojek",2000,10000,1
"Interact_Pronounced","s_st_pgeq0_5",2000,10000,0.9989
"Interact_Pronounced","s_st_pl0_5",2000,10000,1
"Interact_Pronounced","sst_both",2000,10000,1
"Interact_Pronounced","large_s_hl",2000,10000,1
"Interact_Pronounced","spiegelhalter",2000,10000,0.0026
"Interact_Pronounced","Copas_unweighted_S",2000,10000,1
"Interact_Pronounced","pigeonheyse",2000,10000,1
"Interact_Pronounced","xie",2000,10000,1
"Interact_Pronounced","eHL",2000,10000,0.9942
"Interact_Pronounced","U_p",2000,10000,0
"Interact_Pronounced","HL_GAM",2000,10000,1
"Interact_Pronounced","PR_GAM",2000,10000,1
"Interact_Pronounced","XIE_GAM",2000,10000,1
"Interact_Pronounced","Farrington_standalone",2000,10000,0
"Interact_Pronounced","IM_efficient",2000,10000,1
"Interact_Pronounced","McCullagh_Test",2000,10000,1
"Interact_Pronounced","leCessie_Test",2000,10000,1
"Interact_Pronounced","hosmer_equal_width",2000,10000,1
"Interact_Pronounced","bagoft_parallel",2000,1000,0.974
"Interact_Pronounced","bagoft_test_NO_SIM_Split_1",2000,10000,0.4382
"Interact_Pronounced","PR_test",2000,10000,1
"Interact_Pronounced","bagoft_test_Split_20",2000,10000,0.3509
"Interact_Pronounced","stute_zhu_test",2000,10000,1
"Interact_Pronounced","Tsiatis_clustering",2000,10000,1
"Interact_Pronounced","hosmer_bootstrap",2000,10000,0.766
"Interact_Pronounced","eHL_10",2000,10000,0.9956
"Interact_Pronounced","Final_Farrington_G10",2000,10000,1
"Interact_Pronounced","giviti_calib",500,10000,0.5909
"Interact_Pronounced","giviti_calib_internal",500,10000,0.9548
"Interact_Pronounced","traditional_HL",500,10200,0.8393
"Interact_Pronounced","pearson",500,10000,0.8361
"Interact_Pronounced","deviance",500,10000,0.0083
"Interact_Pronounced","hl_ftest",500,10000,0.9098
"Interact_Pronounced","osius_rojek",500,10000,0.9434
"Interact_Pronounced","s_st_pgeq0_5",500,10000,0.7033
"Interact_Pronounced","s_st_pl0_5",500,10000,0.9706
"Interact_Pronounced","sst_both",500,10000,0.9624
"Interact_Pronounced","large_s_hl",500,10000,0.8387
"Interact_Pronounced","spiegelhalter",500,10000,0
"Interact_Pronounced","Copas_unweighted_S",500,10000,0.967
"Interact_Pronounced","pigeonheyse",500,10200,0.7934
"Interact_Pronounced","xie",500,10200,0.7769
"Interact_Pronounced","eHL",500,10000,0.3409
"Interact_Pronounced","U_p",500,10000,0
"Interact_Pronounced","HL_GAM",500,10000,0.8129
"Interact_Pronounced","PR_GAM",500,10000,0.9443
"Interact_Pronounced","XIE_GAM",500,10000,0.8848
"Interact_Pronounced","Farrington_standalone",500,10000,0
"Interact_Pronounced","IM_efficient",500,10000,0.9534
"Interact_Pronounced","McCullagh_Test",500,10000,0.959
"Interact_Pronounced","leCessie_Test",500,10000,0.9574
"Interact_Pronounced","hosmer_equal_width",500,10200,0.8093
"Interact_Pronounced","bagoft_parallel",500,1000,0.454
"Interact_Pronounced","bagoft_test_NO_SIM_Split_1",500,10000,0.1731
"Interact_Pronounced","PR_test",500,10000,0.9439
"Interact_Pronounced","bagoft_test_Split_20",500,10000,0.0343
"Interact_Pronounced","stute_zhu_test",500,10000,0.9537
"Interact_Pronounced","Tsiatis_clustering",500,10200,0.8672
"Interact_Pronounced","hosmer_bootstrap",500,10000,0.3157
"Interact_Pronounced","eHL_10",500,10000,0.441
"Interact_Pronounced","Final_Farrington_G10",500,10200,0.8351
"Interact_Pronounced","hosmer_equal_width",5000,10000,1
"Interact_Pronounced","giviti_calib",5000,10000,1
"Interact_Pronounced","giviti_calib_internal",5000,10000,1
"Interact_Pronounced","traditional_HL",5000,10000,1
"Interact_Pronounced","pearson",5000,10000,1
"Interact_Pronounced","deviance",5000,10000,0.0029
"Interact_Pronounced","hl_ftest",5000,10000,1
"Interact_Pronounced","osius_rojek",5000,10000,1
"Interact_Pronounced","s_st_pgeq0_5",5000,10000,1
"Interact_Pronounced","s_st_pl0_5",5000,10000,1
"Interact_Pronounced","sst_both",5000,10000,1
"Interact_Pronounced","large_s_hl",5000,10000,1
"Interact_Pronounced","spiegelhalter",5000,10000,0.9109
"Interact_Pronounced","Copas_unweighted_S",5000,10000,1
"Interact_Pronounced","pigeonheyse",5000,10000,1
"Interact_Pronounced","xie",5000,10000,1
"Interact_Pronounced","eHL",5000,10000,1
"Interact_Pronounced","U_p",5000,10000,0
"Interact_Pronounced","HL_GAM",5000,10000,1
"Interact_Pronounced","PR_GAM",5000,10000,1
"Interact_Pronounced","XIE_GAM",5000,10000,1
"Interact_Pronounced","Farrington_standalone",5000,10000,0
"Interact_Pronounced","IM_efficient",5000,10000,1
"Interact_Pronounced","McCullagh_Test",5000,1000,1
"Interact_Pronounced","leCessie_Test",5000,1000,1
"Interact_Pronounced","bagoft_parallel",5000,1000,1
"Interact_Pronounced","bagoft_test_NO_SIM_Split_1",5000,10000,0.6795
"Interact_Pronounced","PR_test",5000,10000,1
"Interact_Pronounced","bagoft_test_Split_20",5000,10000,0.8926
"Interact_Pronounced","stute_zhu_test",5000,10000,1
"Interact_Pronounced","Tsiatis_clustering",5000,10000,1
"Interact_Pronounced","hosmer_bootstrap",5000,10000,0.9903
"Interact_Pronounced","eHL_10",5000,10000,1
"Interact_Pronounced","Final_Farrington_G10",5000,10000,1
