"Scenario","Test","n","Replications","Power"
"Uniform_-6_6","giviti_calib_internal",5000,10000,0.0475
"Uniform_-6_6","traditional_HL",5000,10000,0.0519
"Uniform_-6_6","large_s_hl",5000,10000,0.0506
"Uniform_-6_6","hosmer_equal_width",5000,10000,0.0495
"Uniform_-6_6","pearson",5000,10000,0.2062
"Uniform_-6_6","deviance",5000,10000,0
"Uniform_-6_6","hl_ftest",5000,10000,1
"Uniform_-6_6","osius_rojek",5000,10000,0.0503
"Uniform_-6_6","s_st_pgeq0_5",5000,10000,0.0503
"Uniform_-6_6","s_st_pl0_5",5000,10000,0.0475
"Uniform_-6_6","sst_both",5000,10000,0.0653
"Uniform_-6_6","spiegelhalter",5000,10000,0
"Uniform_-6_6","Copas_unweighted_S",5000,10000,0.0533
"Uniform_-6_6","pigeonheyse",5000,10000,0.0322
"Uniform_-6_6","xie",5000,10000,0.0273
"Uniform_-6_6","eHL",5000,10000,0.0026
"Uniform_-6_6","U_p",5000,10000,0
"Uniform_-6_6","HL_GAM",5000,10000,0.0512
"Uniform_-6_6","PR_GAM",5000,0,NA
"Uniform_-6_6","XIE_GAM",5000,10000,0.0495
"Uniform_-6_6","Farrington_standalone",5000,10000,0
"Uniform_-6_6","IM_efficient",5000,10000,0.0537
"Uniform_-6_6","McCullagh_Test",5000,1000,0.047
"Uniform_-6_6","leCessie_Test",5000,1000,0.067
"Uniform_-6_6","bagoft_parallel",5000,1000,0.045
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",5000,10000,0.0566
"Uniform_-6_6","PR_test",5000,0,NA
"Uniform_-6_6","bagoft_test_Split_20",5000,10000,0
"Uniform_-6_6","stute_zhu_test",5000,10000,0.0503
"Uniform_-6_6","Tsiatis_clustering",5000,10000,0.049
"Uniform_-6_6","hosmer_bootstrap",5000,10000,0.1086
"Uniform_-6_6","eHL_10",5000,10000,0.0024
"Uniform_-6_6","Final_Farrington_G10",5000,10000,0.0672
"Uniform_-3_3","giviti_calib",1000,10000,5e-04
"Uniform_-3_3","giviti_calib_internal",1000,10000,0.0467
"Uniform_-3_3","traditional_HL",1000,10000,0.0468
"Uniform_-3_3","pearson",1000,10000,0
"Uniform_-3_3","deviance",1000,10000,0.2166
"Uniform_-3_3","osius_rojek",1000,10000,0.0599
"Uniform_-3_3","s_st_pgeq0_5",1000,10000,0.0481
"Uniform_-3_3","s_st_pl0_5",1000,10000,0.0504
"Uniform_-3_3","sst_both",1000,10000,0.0671
"Uniform_-3_3","large_s_hl",1000,10000,0.0464
"Uniform_-3_3","spiegelhalter",1000,10000,0
"Uniform_-3_3","Copas_unweighted_S",1000,10000,0.0548
"Uniform_-3_3","pigeonheyse",1000,10000,0.0302
"Uniform_-3_3","xie",1000,10000,0.0233
"Uniform_-3_3","eHL",1000,10000,0.0016
"Uniform_-3_3","U_p",1000,10000,0
"Uniform_-3_3","HL_GAM",1000,10000,0.0393
"Uniform_-3_3","PR_GAM",1000,0,NA
"Uniform_-3_3","XIE_GAM",1000,10000,0.0492
"Uniform_-3_3","Farrington_standalone",1000,10000,0
"Uniform_-3_3","IM_efficient",1000,10000,0.0534
"Uniform_-3_3","McCullagh_Test",1000,10000,0.055
"Uniform_-3_3","leCessie_Test",1000,10000,0.0667
"Uniform_-3_3","bagoft_parallel",1000,1000,0.048
"Uniform_-3_3","hosmer_equal_width",1000,10000,0.0481
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",1000,10000,0.0698
"Uniform_-3_3","PR_test",1000,0,NA
"Uniform_-3_3","bagoft_test_Split_20",1000,10000,0
"Uniform_-3_3","stute_zhu_test",1000,10000,0.051
"Uniform_-3_3","Tsiatis_clustering",1000,10000,0.0488
"Uniform_-3_3","hl_ftest",1000,10000,0.604
"Uniform_-3_3","hosmer_bootstrap",1000,10000,0.1122
"Uniform_-3_3","eHL_10",1000,10000,0.0035
"Uniform_-3_3","Final_Farrington_G10",1000,10000,0.0676
"Uniform_-3_3","traditional_HL",100000,10000,0.0489
"Uniform_-3_3","pigeonheyse",100000,10000,0.0313
"Uniform_-3_3","Final_Farrington_G10",100000,10000,0.0672
"Uniform_-3_3","traditional_HL",1000000,10000,0.0499
"Uniform_-3_3","pigeonheyse",1000000,10000,0.0319
"Uniform_-3_3","Final_Farrington_G10",1000000,10000,0.0688
"Uniform_-3_3","giviti_calib",200,10000,0.0013
"Uniform_-3_3","giviti_calib_internal",200,10000,0.0556
"Uniform_-3_3","traditional_HL",200,10000,0.0498
"Uniform_-3_3","pearson",200,10000,0.0017
"Uniform_-3_3","deviance",200,10000,0.0368
"Uniform_-3_3","hl_ftest",200,10000,0.1393
"Uniform_-3_3","osius_rojek",200,10000,0.072
"Uniform_-3_3","s_st_pgeq0_5",200,10000,0.0528
"Uniform_-3_3","s_st_pl0_5",200,10000,0.0531
"Uniform_-3_3","sst_both",200,10000,0.0715
"Uniform_-3_3","large_s_hl",200,10000,0.0498
"Uniform_-3_3","spiegelhalter",200,10000,0
"Uniform_-3_3","Copas_unweighted_S",200,10000,0.0519
"Uniform_-3_3","pigeonheyse",200,10000,0.0333
"Uniform_-3_3","xie",200,10000,0.0236
"Uniform_-3_3","eHL",200,10000,9e-04
"Uniform_-3_3","U_p",200,10000,0
"Uniform_-3_3","HL_GAM",200,10000,0.0353
"Uniform_-3_3","PR_GAM",200,0,NA
"Uniform_-3_3","XIE_GAM",200,10000,0.0495
"Uniform_-3_3","Farrington_standalone",200,10000,0
