"Scenario","Test","n","Replications","Power"
"Quad_Pronounced","XIE_GAM",200,10000,0.9987
"Quad_Pronounced","Farrington_standalone",200,10000,0
"Quad_Pronounced","IM_efficient",200,10000,0.9994
"Quad_Pronounced","McCullagh_Test",200,10000,0.9993
"Quad_Pronounced","leCessie_Test",200,10000,0.9982
"Quad_Pronounced","hosmer_equal_width",200,10196,0.9526
"Quad_Pronounced","bagoft_test_NO_SIM_Split_1",200,10000,0.6264
"Quad_Pronounced","PR_test",200,0,NA
"Quad_Pronounced","bagoft_parallel",200,1000,0.963
"Quad_Pronounced","bagoft_test_Split_20",200,10000,0.7236
"Quad_Pronounced","stute_zhu_test",200,10000,0.9984
"Quad_Pronounced","Tsiatis_clustering",200,10200,0.999
"Quad_Pronounced","hosmer_bootstrap",200,10000,0.9382
"Quad_Pronounced","eHL_10",200,10000,0.9682
"Quad_Pronounced","Final_Farrington_G10",200,10200,0.991
"Quad_Pronounced","giviti_calib",2000,10000,1
"Quad_Pronounced","giviti_calib_internal",2000,10000,1
"Quad_Pronounced","traditional_HL",2000,10000,1
"Quad_Pronounced","pearson",2000,10000,1
"Quad_Pronounced","deviance",2000,10000,0
"Quad_Pronounced","hl_ftest",2000,10000,1
"Quad_Pronounced","osius_rojek",2000,10000,1
"Quad_Pronounced","s_st_pgeq0_5",2000,9997,0.9999
"Quad_Pronounced","s_st_pl0_5",2000,10000,1
"Quad_Pronounced","sst_both",2000,9997,1
"Quad_Pronounced","large_s_hl",2000,10000,1
"Quad_Pronounced","spiegelhalter",2000,10000,0.9997
"Quad_Pronounced","Copas_unweighted_S",2000,10000,1
"Quad_Pronounced","pigeonheyse",2000,10000,1
"Quad_Pronounced","xie",2000,10000,1
"Quad_Pronounced","eHL",2000,10000,1
"Quad_Pronounced","U_p",2000,10000,0
"Quad_Pronounced","HL_GAM",2000,10000,1
"Quad_Pronounced","PR_GAM",2000,0,NA
"Quad_Pronounced","XIE_GAM",2000,10000,1
"Quad_Pronounced","Farrington_standalone",2000,10000,0
"Quad_Pronounced","IM_efficient",2000,10000,1
"Quad_Pronounced","McCullagh_Test",2000,10000,1
"Quad_Pronounced","leCessie_Test",2000,10000,1
"Quad_Pronounced","hosmer_equal_width",2000,10000,1
"Quad_Pronounced","bagoft_test_NO_SIM_Split_1",2000,10000,0.939
"Quad_Pronounced","PR_test",2000,0,NA
"Quad_Pronounced","bagoft_parallel",2000,1000,0.488
"Quad_Pronounced","bagoft_test_Split_20",2000,10000,1
"Quad_Pronounced","stute_zhu_test",2000,10000,1
"Quad_Pronounced","Tsiatis_clustering",2000,10000,1
"Quad_Pronounced","hosmer_bootstrap",2000,10000,1
"Quad_Pronounced","eHL_10",2000,10000,1
"Quad_Pronounced","Final_Farrington_G10",2000,10000,1
"Quad_Pronounced","giviti_calib",500,10000,1
"Quad_Pronounced","giviti_calib_internal",500,10000,1
"Quad_Pronounced","traditional_HL",500,10200,1
